"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
"
Bolivia,2266,185.0,106.0,4.0,237.0,1923,3.0,194.0,9.0,7651.0,655.0
Croatia,2161,,86.0,,1689.0,386,13.0,526.0,21.0,43378.0,10566.0
Bosnia and Herzegovina,2070,,98.0,,960.0,1012,4.0,631.0,30.0,38187.0,11639.0
Guinea,2009,,11.0,,663.0,1335,,153.0,0.8,,
Bulgaria,1911,39.0,88.0,2.0,422.0,1401,49.0,275.0,13.0,56105.0,8074.0
Iceland,1801,,10.0,,1765.0,26,,5278.0,29.0,52745.0,154567.0
Honduras,1771,86.0,107.0,2.0,192.0,1472,10.0,179.0,11.0,5653.0,571.0
Cuba,1741,,74.0,,1078.0,589,8.0,154.0,7.0,63560.0,5612.0
Estonia,1733,8.0,60.0,4.0,747.0,926,5.0,1306.0,45.0,62720.0,47281.0
Ivory Coast,1602,,20.0,,754.0,828,,61.0,0.8,12312.0,467.0
North Macedonia,1586,,90.0,,1099.0,397,21.0,761.0,43.0,18410.0,8837.0
Senegal,1551,,13.0,,611.0,927,6.0,93.0,0.8,18969.0,1133.0
New Zealand,1492,2.0,21.0,,1368.0,103,2.0,309.0,4.0,183039.0,37957.0
Slovakia,1455,,26.0,,919.0,510,5.0,267.0,5.0,118371.0,21681.0
Slovenia,1454,4.0,101.0,1.0,255.0,1098,10.0,699.0,49.0,62203.0,29921.0
Lithuania,1444,8.0,49.0,,828.0,567,17.0,530.0,18.0,180332.0,66243.0
Djibouti,1135,,3.0,,824.0,308,,1149.0,3.0,14857.0,15037.0
Sudan,1111,,59.0,,102.0,950,,25.0,1.0,,
Hong Kong,1045,,4.0,,967.0,74,1.0,139.0,0.5,168291.0,22448.0
Tunisia,1030,,45.0,,638.0,347,24.0,87.0,4.0,27420.0,2320.0
DRC,937,74.0,39.0,3.0,130.0,768,,10.0,0.4,,
Kyrgyzstan,931,25.0,12.0,,658.0,261,13.0,143.0,2.0,59490.0,9118.0
Latvia,930,2.0,18.0,,464.0,448,2.0,493.0,10.0,75571.0,40065.0
Somalia,928,,44.0,,106.0,778,2.0,58.0,3.0,,
Guatemala,900,68.0,24.0,1.0,101.0,775,5.0,50.0,1.0,7200.0,402.0
Cyprus,891,,15.0,,400.0,476,10.0,738.0,12.0,72768.0,60270.0
Albania,856,6.0,31.0,,627.0,198,7.0,297.0,11.0,10268.0,3568.0
Mayotte,854,,10.0,,352.0,492,7.0,3130.0,37.0,4000.0,14662.0
Sri Lanka,835,,9.0,,255.0,571,1.0,39.0,0.4,33899.0,1583.0
Lebanon,796,,26.0,,223.0,547,42.0,117.0,4.0,48673.0,7131.0
Niger,795,,44.0,,600.0,151,,33.0,2.0,5488.0,227.0
El Salvador,784,42.0,16.0,,276.0,492,4.0,121.0,2.0,39079.0,6025.0
Costa Rica,773,,6.0,,461.0,306,6.0,152.0,1.0,15810.0,3104.0
Andorra,752,,47.0,,537.0,168,14.0,9733.0,608.0,1673.0,21653.0
Burkina Faso,744,,48.0,,566.0,130,,36.0,2.0,,
Maldives,744,,3.0,,20.0,721,2.0,1376.0,6.0,11299.0,20903.0
Diamond Princess,712,,13.0,,645.0,54,4.0,,,,
Uruguay,694,,18.0,,506.0,170,7.0,200.0,5.0,26838.0,7726.0
Mali,668,,35.0,,285.0,348,,33.0,2.0,2172.0,107.0
Georgia,626,3.0,10.0,,297.0,319,6.0,157.0,3.0,25861.0,6483.0
San Marino,623,,41.0,,114.0,468,4.0,18361.0,1208.0,2860.0,84289.0
Kenya,621,,29.0,,202.0,390,1.0,12.0,0.5,29430.0,547.0
Gabon,620,,8.0,,110.0,502,1.0,279.0,4.0,724.0,325.0
Guinea-Bissau,594,,2.0,,25.0,567,,302.0,1.0,1500.0,762.0
Paraguay,563,,10.0,,152.0,401,9.0,79.0,1.0,13846.0,1941.0
Channel Islands,545,,41.0,,447.0,57,,3135.0,236.0,5342.0,30725.0
Tajikistan,522,,12.0,,,510,,55.0,1.0,,
