"Country,Other",#,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population
Timor-Leste,187,24,,,,24.0,0.0,,18.0,,738.0,561.0,1315590
Grenada,188,22,,,,17.0,5.0,4.0,196.0,,3007.0,26736.0,112468
Namibia,189,20,1.0,,,14.0,6.0,,8.0,,2847.0,1123.0,2535696
Laos,190,19,,,,14.0,5.0,,3.0,,5194.0,715.0,7263819
Belize,191,18,,2.0,,16.0,0.0,,45.0,5.0,1435.0,3616.0,396811
Fiji,192,18,,,,15.0,3.0,,20.0,,1300.0,1451.0,895748
New Caledonia,193,18,,,,18.0,0.0,,63.0,,5454.0,19123.0,285200
Saint Lucia,194,18,,,,18.0,0.0,,98.0,,867.0,4724.0,183538
St. Vincent Grenadines,195,18,,,,14.0,4.0,,162.0,,175.0,1578.0,110903
Curaçao,196,16,,1.0,,14.0,1.0,,98.0,6.0,504.0,3073.0,164022
Dominica,197,16,,,,16.0,0.0,,222.0,,433.0,6017.0,71967
Saint Kitts and Nevis,198,15,,,,15.0,0.0,,282.0,,391.0,7355.0,53159
Falkland Islands,199,13,,,,13.0,0.0,,3749.0,,426.0,122837.0,3468
Turks and Caicos,200,12,,1.0,,10.0,1.0,,310.0,26.0,109.0,2820.0,38659
Vatican City,201,12,,,,2.0,10.0,,14981.0,,,,801
Montserrat,202,11,,1.0,,10.0,0.0,,2204.0,200.0,36.0,7212.0,4992
Suriname,203,11,,1.0,,9.0,1.0,,19.0,2.0,404.0,689.0,586063
Greenland,204,11,,,,11.0,0.0,,194.0,,1767.0,31131.0,56760
Seychelles,205,11,,,,11.0,0.0,,112.0,,,,98282
MS Zaandam,206,9,,2.0,,,7.0,,,,,,0
British Virgin Islands,207,8,,1.0,,6.0,1.0,,265.0,33.0,167.0,5528.0,30209
Papua New Guinea,208,8,,,,8.0,0.0,,0.9,,2402.0,269.0,8927762
Caribbean Netherlands,209,6,,,,6.0,0.0,,229.0,,424.0,16185.0,26197
St. Barth,210,6,,,,6.0,0.0,,608.0,,,,9874
Western Sahara,211,6,,,,6.0,0.0,,10.0,,,,595623
Anguilla,212,3,,,,3.0,0.0,,200.0,,,,14989
Lesotho,213,2,,,,,2.0,,0.9,,,,2140421
Saint Pierre Miquelon,214,1,,,,1.0,0.0,,173.0,,,,5797
China,215,82971,,4634.0,,78258.0,79.0,9.0,58.0,3.0,,,1439323776
