Country,2020/03/30 12:00:00,2020/04/06 17:24:01,2020/04/06 20:46:16,2020/04/07 15:34:17,2020/04/07 20:50:58,2020/04/08 08:52:04,2020/04/08 09:16:27,2020/04/08 10:08:06,2020/04/08 10:12:31,2020/04/09 13:57:23,2020/04/10 10:13:21,2020/04/10 16:03:43,2020/04/11 10:14:07,2020/04/12 10:14:59,2020/04/16 12:26:48,2020/04/17 10:18:45,2020/04/18 10:19:16,2020/04/19 10:20:04,2020/04/20 10:20:53,2020/04/21 10:21:13,2020/04/22 10:21:19,2020/04/23 10:21:37,2020/04/24 10:21:55,2020/04/25 10:22:32,2020/04/26 10:22:43,2020/04/27 10:23:05,2020/04/28 10:23:16,2020/04/29 10:23:43,2020/04/30 10:24:24,2020/05/01 10:24:46,2020/05/02 10:24:51,2020/05/03 10:24:55,2020/05/04 10:25:42,2020/05/05 10:25:33,2020/05/06 10:26:04,2020/05/07 10:26:50,2020/05/08 10:27:44,2020/05/09 10:28:06,2020/05/10 10:28:51,2020/05/11 10:29:44,2020/05/12 10:29:49,2020/05/13 10:30:19,2020/05/14 10:30:49,2020/05/15 10:30:52,2020/05/16 10:31:37,2020/05/17 10:32:03,2020/05/18 10:32:10,2020/05/19 10:33:05
Pakistan,14.0,52.0,52.0,55.0,56.0,58.0,58.0,58.0,58.0,63.0,66.0,66.0,71.0,86.0,124.0,135.0,143.0,159.0,176.0,192.0,209.0,224.0,237.0,253.0,269.0,281.0,301.0,327.0,346.0,385.0,417.0,440.0,462.0,486.0,526.0,564.0,594.0,618.0,639.0,667.0,706.0,737.0,770.0,803.0,834.0,873.0,903.0,939.0
Russia,8.0,47.0,47.0,58.0,58.0,63.0,63.0,63.0,63.0,76.0,94.0,94.0,106.0,130.0,232.0,273.0,313.0,361.0,405.0,456.0,513.0,555.0,615.0,681.0,747.0,794.0,867.0,972.0,1073.0,1169.0,1222.0,1280.0,1356.0,1451.0,1537.0,1625.0,1723.0,1827.0,1915.0,2009.0,2116.0,2212.0,2305.0,2418.0,2537.0,2631.0,2722.0,2837.0
Philippines,71.0,163.0,163.0,177.0,177.0,182.0,182.0,182.0,182.0,203.0,221.0,221.0,247.0,297.0,362.0,387.0,397.0,409.0,428.0,437.0,446.0,462.0,477.0,494.0,501.0,511.0,530.0,558.0,568.0,579.0,603.0,607.0,623.0,637.0,658.0,685.0,696.0,704.0,719.0,726.0,751.0,772.0,790.0,806.0,817.0,824.0,831.0,837.0
Thailand,7.0,26.0,26.0,27.0,27.0,30.0,30.0,30.0,30.0,32.0,33.0,33.0,35.0,38.0,46.0,47.0,47.0,47.0,47.0,48.0,49.0,50.0,50.0,51.0,51.0,52.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,55.0,55.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
Saudi Arabia,8.0,38.0,38.0,41.0,41.0,41.0,41.0,41.0,41.0,44.0,44.0,47.0,47.0,52.0,79.0,83.0,87.0,92.0,97.0,103.0,109.0,114.0,121.0,127.0,136.0,139.0,144.0,152.0,157.0,162.0,169.0,176.0,184.0,191.0,200.0,209.0,219.0,229.0,239.0,246.0,255.0,264.0,273.0,283.0,292.0,302.0,312.0,320.0
Indonesia,114.0,209.0,209.0,221.0,221.0,240.0,240.0,240.0,240.0,280.0,306.0,306.0,327.0,373.0,498.0,520.0,535.0,582.0,590.0,616.0,635.0,647.0,689.0,720.0,743.0,765.0,773.0,784.0,792.0,800.0,831.0,845.0,864.0,872.0,895.0,930.0,943.0,959.0,973.0,991.0,1007.0,1028.0,1043.0,1076.0,1089.0,1148.0,1191.0,1221.0
South Africa,2.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,13.0,18.0,18.0,24.0,24.0,25.0,34.0,48.0,50.0,52.0,54.0,58.0,58.0,65.0,75.0,79.0,86.0,87.0,90.0,93.0,103.0,103.0,116.0,123.0,131.0,138.0,148.0,153.0,161.0,178.0,186.0,194.0,206.0,206.0,219.0,238.0,247.0,261.0,264.0,286.0
Finland,11.0,27.0,27.0,34.0,34.0,34.0,34.0,34.0,34.0,42.0,42.0,48.0,48.0,49.0,72.0,75.0,82.0,94.0,94.0,98.0,141.0,149.0,172.0,177.0,186.0,190.0,193.0,199.0,206.0,211.0,220.0,220.0,230.0,240.0,246.0,252.0,255.0,265.0,267.0,267.0,271.0,275.0,284.0,287.0,297.0,298.0,298.0,300.0
Greece,39.0,79.0,79.0,81.0,81.0,81.0,81.0,81.0,81.0,83.0,87.0,90.0,92.0,93.0,102.0,105.0,108.0,110.0,113.0,116.0,121.0,121.0,127.0,130.0,130.0,134.0,136.0,138.0,139.0,140.0,140.0,143.0,144.0,146.0,146.0,147.0,148.0,150.0,151.0,151.0,151.0,152.0,155.0,156.0,160.0,162.0,163.0,165.0
India,27.0,118.0,136.0,137.0,150.0,164.0,164.0,164.0,164.0,186.0,228.0,229.0,249.0,289.0,423.0,448.0,488.0,521.0,559.0,592.0,645.0,681.0,722.0,780.0,825.0,884.0,939.0,1008.0,1079.0,1154.0,1223.0,1323.0,1395.0,1571.0,1695.0,1787.0,1895.0,1986.0,2109.0,2215.0,2310.0,2436.0,2564.0,2649.0,2760.0,2897.0,3029.0,3164.0
